Road length which is dual carriageway (kilometres) by road type and local authority in Great Britain, 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Table RDL0202b;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Department for Transport statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Road lengths statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes are used throughout this table, please see the notes tab to find the related notes text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shorthand is used in this table. [-] denotes that there are no notes related to this row;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Values in this table may not sum due to rounding;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ONS Area 
Code";Region;Local Authority;Trunk motorways;Principal motorways;All motorways;Trunk rural 'A' roads;Trunk urban 'A' roads;Principal rural 'A' roads;Principal urban 'A' roads;All 'A' roads;All trunk;All principal;Total dual carriageway;Notes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000055;East of England;Bedford UA ;0,0;0,0;0,0;20,8;1,4;4,4;2,7;29,3;22,2;7,1;29,3;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E10000003;East of England;Cambridgeshire ;47,5;0,0;47,5;132,7;1,8;38,8;10,2;183,5;182,0;49,0;231,0;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000056;East of England;Central Bedfordshire UA ;25,4;0,0;25,4;32,6;3,3;14,5;3,9;54,3;61,3;18,4;79,7;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E10000012;East of England;Essex ;77,3;0,0;77,3;111,0;6,1;84,3;38,0;239,4;194,4;122,3;316,7;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E10000015;East of England;Hertfordshire;101,7;0,0;101,7;11,7;0,4;134,9;51,6;198,6;113,8;186,5;300,3;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000032;East of England;Luton UA;2,6;0,0;2,6;0,0;0,0;1,1;7,9;9,0;2,6;9,0;11,6;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E10000020;East of England;Norfolk;0,0;0,0;0,0;100,4;7,6;35,2;12,8;156,0;108,0;48,0;156,0;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000031;East of England;Peterborough UA;0,0;0,0;0,0;22,7;4,9;23,0;13,9;64,5;27,6;36,9;64,5;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E06000033;East of England;Southend-on-Sea UA;0,0;0,0;0,0;0,0;0,0;1,6;12,6;14,2;0,0;14,2;14,2;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
E10000029;East of England;Suffolk;0,0;0,0;0,0;119,9;5,9;33,5;9,3;168,6;125,8;42,8;168,6;[Note 1] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
