Road length (kilometres) by road type and local authority in Great Britain, 2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Table RDL0202a;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Department for Transport statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Road lengths statistics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Notes are used throughout this table, please see the notes tab to find the related notes text;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Shorthand is used in this table. [-] denotes that there are no notes related to this row;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Values in this table may not sum due to rounding;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ONS Area 
Code";Region;Local Authority;Trunk motorways;Principal motorways;All motorways;Trunk rural 'A' roads;Trunk urban 'A' roads;Principal rural 'A' roads;Principal urban 'A' roads;All 'A' roads;Major trunk roads;Major principal roads;All major roads;Rural 'B' roads;Urban 'B' roads;Rural 'C and U' roads;Urban 'C and U' roads;All minor roads;Total road length ;Notes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000047;Scotland;Fife;23,2;0,0;23,2;79,8;13,4;216,5;97,5;407,2;116,4;314,0;430,4;220,3;95,2;710,9;1.354,0;2.380,3;2.810,7;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000049;Scotland;Glasgow City;57,9;0,0;57,9;2,5;0,1;7,6;120,3;130,5;60,5;127,9;188,4;7,5;54,3;27,7;1.650,7;1.740,1;1.928,5;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000017;Scotland;Highland;0,0;0,0;0,0;901,2;59,7;1.348,5;44,0;2.353,4;960,9;1.392,5;2.353,4;910,9;56,3;3.784,7;904,9;5.656,8;8.010,2;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000018;Scotland;Inverclyde;0,0;0,0;0,0;10,2;14,9;8,3;14,6;48,0;25,1;22,9;48,0;16,7;5,9;63,8;287,9;374,2;422,2;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000019;Scotland;Midlothian;0,0;0,0;0,0;33,6;1,0;58,3;23,4;116,3;34,6;81,7;116,3;61,9;22,3;219,6;291,6;595,4;711,7;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000020;Scotland;Moray;0,0;0,0;0,0;86,5;12,1;136,7;21,9;257,2;98,6;158,6;257,2;269,6;24,1;859,0;367,3;1.520,0;1.777,2;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000021;Scotland;North Ayrshire;0,0;0,0;0,0;40,6;24,7;69,0;24,1;158,4;65,3;93,1;158,4;109,1;47,9;333,6;514,5;1.005,1;1.163,5;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000050;Scotland;North Lanarkshire;55,6;0,0;55,6;13,2;4,6;61,2;76,8;155,8;73,4;138,0;211,4;65,2;73,9;276,5;1.147,3;1.563,0;1.774,4;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000023;Scotland;Orkney Islands;0,0;0,0;0,0;0,0;0,0;152,3;11,8;164,1;0,0;164,1;164,1;208,1;0,8;609,8;61,3;880,0;1.044,1;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000048;Scotland;Perth and Kinross;42,3;0,0;42,3;182,9;14,7;367,4;58,6;623,6;239,9;426,0;665,9;328,6;20,8;1.383,4;512,0;2.244,8;2.910,7;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000038;Scotland;Renfrewshire;23,9;0,0;23,9;15,0;7,1;21,3;40,4;83,8;46,0;61,7;107,7;35,9;26,7;161,2;657,8;881,7;989,4;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000026;Scotland;Scottish Borders;0,0;0,0;0,0;144,7;16,6;422,9;38,4;622,6;161,3;461,3;622,6;566,6;36,8;1.676,9;356,4;2.636,7;3.259,3;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000027;Scotland;Shetland Islands;0,0;0,0;0,0;0,0;0,0;212,9;11,9;224,8;0,0;224,8;224,8;152,4;2,6;597,4;56,3;808,8;1.033,6;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000028;Scotland;South Ayrshire;0,0;0,0;0,0;86,0;8,7;78,7;29,7;203,1;94,7;108,4;203,1;181,5;28,5;510,9;401,9;1.122,9;1.326,0;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000029;Scotland;South Lanarkshire;73,1;0,0;73,1;35,6;14,7;189,7;69,7;309,7;123,4;259,4;382,8;169,0;52,6;821,3;1.145,3;2.188,2;2.571,0;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000030;Scotland;Stirling;22,8;0,0;22,8;102,9;4,4;166,5;42,0;315,8;130,1;208,5;338,6;133,2;25,2;387,3;311,6;857,3;1.195,9;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000039;Scotland;West Dunbartonshire;0,0;0,0;0,0;11,4;8,6;13,9;31,4;65,3;20,0;45,3;65,3;0,3;8,6;46,6;306,2;361,6;426,9;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
S12000040;Scotland;West Lothian;37,5;0,0;37,5;0,0;0,0;91,6;55,4;147,0;37,5;147,0;184,5;69,4;46,2;238,6;672,3;1.026,5;1.211,0;[Note 2] [Note 5];;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
